Man City, 5, 0, ??,-1,-1,??,5, 3, Arsenal,0, 2, Man City, 0, 6, Man City,6, 1, Huddersfield, 4, 7, Wolves,1, 1, Man City, 3, 10, Man City,2, 1, Newcastle, 2, 13, Man City,3, 0, Fulham, 1, 16, Cardiff,0, 5, Man City, 0, 19, Man City,2, 0, Brighton, 0, 20, Liverpool,0, 0, Man City, 0, 23, Man City,5, 0, Burnley, 0, 26, Tottenham,0, 1, Man City, 0, 29, Man City,6, 1, Southampton, 0, 32, Man City,3, 1, Man United, 0, 35, West Ham,0, 4, Man City, 0, 38, Man City,3, 1, Bournemouth, 0, 41, Watford,1, 2, Man City, 1, 41, Chelsea,2, 0, Man City, 1, 44, Man City,3, 1, Everton, 1, 44, Man City,2, 3, Crystal Palace, 2, 44, Leicester,2, 1, Man City, 2, 44, ??,-1,-1,??,1, 47, Southampton,1, 3, Man City, 1, 50, Man City,2, 1, Liverpool, 1, 53, Man City,3, 0, Wolves, 1, 56, Huddersfield,0, 3, Man City, 1, 56, Newcastle,2, 1, Man City, 1, 59, Man City,3, 1, Arsenal, 1, 62, Man City,6, 0, Chelsea, 1, 65, Everton,0, 2, Man City, 1, 68, Man City,1, 0, West Ham, 0, 71, Bournemouth,0, 1, Man City, 0, 74, Man City,3, 1, Watford, 0, 77, Man United,0, 2, Man City, 0, 80, Fulham,0, 2, Man City, 0, 83, Man City,2, 0, Cardiff, 0, 86, Crystal Palace,1, 3, Man City, 0, 89, Man City,1, 0, Tottenham, 0, 92, Burnley,0, 1, Man City, 0, 95, Man City,1, 0, Leicester, 0, 98, Brighton,1, 4, Man City, 0, 98, ??,-1,-1,??,
Liverpool, 0, 0, ??,-1,-1,??,0, 3, Liverpool,4, 0, West Ham, 1, 6, Crystal Palace,0, 2, Liverpool, 0, 9, Liverpool,1, 0, Brighton, 0, 12, Leicester,1, 2, Liverpool, 1, 15, Tottenham,1, 2, Liverpool, 0, 18, Liverpool,3, 0, Southampton, 1, 19, Chelsea,1, 1, Liverpool, 2, 20, Liverpool,0, 0, Man City, 1, 23, Huddersfield,0, 1, Liverpool, 1, 26, Liverpool,4, 1, Cardiff, 2, 27, Arsenal,1, 1, Liverpool, 1, 30, Liverpool,2, 0, Fulham, 1, 33, Watford,0, 3, Liverpool, 1, 36, Liverpool,1, 0, Everton, 1, 39, Burnley,1, 3, Liverpool, 0, 42, Bournemouth,0, 4, Liverpool, 0, 45, Liverpool,3, 1, Man United, 0, 48, Wolves,0, 2, Liverpool, 0, 51, Liverpool,4, 0, Newcastle, 0, 51, ??,-1,-1,??,0, 54, Liverpool,5, 1, Arsenal, 0, 54, Man City,2, 1, Liverpool, 0, 57, Brighton,0, 1, Liverpool, 0, 60, Liverpool,4, 3, Crystal Palace, 0, 61, Liverpool,1, 1, Leicester, 0, 62, West Ham,1, 1, Liverpool, 0, 65, Liverpool,3, 0, Bournemouth, 0, 66, Man United,0, 0, Liverpool, 0, 69, Liverpool,5, 0, Watford, 1, 70, Everton,0, 0, Liverpool, 1, 73, Liverpool,4, 2, Burnley, 1, 76, Fulham,1, 2, Liverpool, 1, 79, Liverpool,2, 1, Tottenham, 1, 82, Southampton,1, 3, Liverpool, 1, 85, Liverpool,2, 0, Chelsea, 1, 88, Cardiff,0, 2, Liverpool, 1, 91, Liverpool,5, 0, Huddersfield, 1, 94, Newcastle,2, 3, Liverpool, 1, 97, Liverpool,2, 0, Wolves, 1, 97, ??,-1,-1,??,
Chelsea, 1, 0, ??,-1,-1,??,1, 3, Huddersfield,0, 3, Chelsea, 2, 6, Chelsea,3, 2, Arsenal, 2, 9, Newcastle,1, 2, Chelsea, 1, 12, Chelsea,2, 0, Bournemouth, 0, 15, Chelsea,4, 1, Cardiff, 2, 16, West Ham,0, 0, Chelsea, 2, 17, Chelsea,1, 1, Liverpool, 1, 20, Southampton,0, 3, Chelsea, 2, 21, Chelsea,2, 2, Man United, 2, 24, Burnley,0, 4, Chelsea, 1, 27, Chelsea,3, 1, Crystal Palace, 2, 28, Chelsea,0, 0, Everton, 3, 28, Tottenham,3, 1, Chelsea, 2, 31, Chelsea,2, 0, Fulham, 3, 31, Wolves,2, 1, Chelsea, 3, 34, Chelsea,2, 0, Man City, 3, 37, Brighton,1, 2, Chelsea, 3, 37, Chelsea,0, 1, Leicester, 3, 40, Watford,1, 2, Chelsea, 3, 40, ??,-1,-1,??,3, 43, Crystal Palace,0, 1, Chelsea, 3, 44, Chelsea,0, 0, Southampton, 3, 47, Chelsea,2, 1, Newcastle, 3, 47, Arsenal,2, 0, Chelsea, 4, 47, Bournemouth,4, 0, Chelsea, 3, 50, Chelsea,5, 0, Huddersfield, 5, 50, Man City,6, 0, Chelsea, 3, 53, Chelsea,3, 0, Brighton, 4, 56, Chelsea,2, 0, Tottenham, 3, 59, Fulham,1, 2, Chelsea, 4, 60, Chelsea,1, 1, Wolves, 4, 60, Everton,2, 0, Chelsea, 4, 63, Cardiff,1, 2, Chelsea, 3, 66, Chelsea,2, 0, West Ham, 4, 66, Liverpool,2, 0, Chelsea, 3, 67, Chelsea,2, 2, Burnley, 3, 68, Man United,1, 1, Chelsea, 2, 71, Chelsea,3, 0, Watford, 2, 72, Leicester,0, 0, Chelsea, 2, 72, ??,-1,-1,??,
Tottenham, 7, 0, ??,-1,-1,??,7, 3, Newcastle,1, 2, Tottenham, 4, 6, Tottenham,3, 1, Fulham, 1, 9, Man United,0, 3, Tottenham, 4, 9, Watford,2, 1, Tottenham, 5, 9, Tottenham,1, 2, Liverpool, 4, 12, Brighton,1, 2, Tottenham, 3, 15, Huddersfield,0, 2, Tottenham, 4, 18, Tottenham,1, 0, Cardiff, 4, 21, West Ham,0, 1, Tottenham, 4, 21, Tottenham,0, 1, Man City, 3, 24, Wolves,2, 3, Tottenham, 3, 27, Crystal Palace,0, 1, Tottenham, 2, 30, Tottenham,3, 1, Chelsea, 4, 30, Arsenal,4, 2, Tottenham, 2, 33, Tottenham,3, 1, Southampton, 2, 36, Leicester,0, 2, Tottenham, 2, 39, Tottenham,1, 0, Burnley, 2, 42, Everton,2, 6, Tottenham, 1, 45, Tottenham,5, 0, Bournemouth, 1, 45, ??,-1,-1,??,2, 45, Tottenham,1, 3, Wolves, 2, 48, Cardiff,0, 3, Tottenham, 2, 48, Tottenham,0, 1, Man United, 2, 51, Fulham,1, 2, Tottenham, 2, 54, Tottenham,2, 1, Watford, 2, 57, Tottenham,1, 0, Newcastle, 2, 60, Tottenham,3, 1, Leicester, 2, 60, Burnley,2, 1, Tottenham, 2, 60, Chelsea,2, 0, Tottenham, 2, 61, Tottenham,1, 1, Arsenal, 2, 61, Southampton,2, 1, Tottenham, 2, 64, Tottenham,2, 0, Crystal Palace, 2, 64, Liverpool,2, 1, Tottenham, 2, 67, Tottenham,1, 0, Brighton, 2, 70, Tottenham,4, 0, Huddersfield, 2, 70, Man City,1, 0, Tottenham, 2, 70, Tottenham,0, 1, West Ham, 3, 70, Bournemouth,1, 0, Tottenham, 3, 71, Tottenham,2, 2, Everton, 3, 71, ??,-1,-1,??,
Arsenal, 17, 0, ??,-1,-1,??,17, 0, Arsenal,0, 2, Man City, 16, 0, Chelsea,3, 2, Arsenal, 8, 3, Arsenal,3, 1, West Ham, 8, 6, Cardiff,2, 3, Arsenal, 6, 9, Newcastle,1, 2, Arsenal, 5, 12, Arsenal,2, 0, Everton, 4, 15, Arsenal,2, 0, Watford, 3, 18, Fulham,1, 5, Arsenal, 3, 21, Arsenal,3, 1, Leicester, 3, 22, Crystal Palace,2, 2, Arsenal, 4, 23, Arsenal,1, 1, Liverpool, 4, 24, Arsenal,1, 1, Wolves, 4, 27, Bournemouth,1, 2, Arsenal, 3, 30, Arsenal,4, 2, Tottenham, 4, 31, Man United,2, 2, Arsenal, 4, 34, Arsenal,1, 0, Huddersfield, 4, 34, Southampton,3, 2, Arsenal, 4, 37, Arsenal,3, 1, Burnley, 4, 38, Brighton,1, 1, Arsenal, 4, 38, ??,-1,-1,??,4, 38, Liverpool,5, 1, Arsenal, 4, 41, Arsenal,4, 1, Fulham, 4, 41, West Ham,1, 0, Arsenal, 4, 44, Arsenal,2, 0, Chelsea, 3, 47, Arsenal,2, 1, Cardiff, 5, 47, Man City,3, 1, Arsenal, 4, 50, Huddersfield,1, 2, Arsenal, 4, 53, Arsenal,2, 0, Southampton, 3, 56, Arsenal,5, 1, Bournemouth, 5, 57, Tottenham,1, 1, Arsenal, 3, 60, Arsenal,2, 0, Man United, 3, 60, Wolves,3, 1, Arsenal, 3, 63, Arsenal,2, 0, Newcastle, 4, 63, Everton,1, 0, Arsenal, 3, 66, Watford,0, 1, Arsenal, 4, 66, Arsenal,2, 3, Crystal Palace, 4, 66, Leicester,3, 0, Arsenal, 4, 67, Arsenal,1, 1, Brighton, 4, 70, Burnley,1, 3, Arsenal, 4, 70, ??,-1,-1,??,
Man United, 6, 0, ??,-1,-1,??,6, 3, Man United,2, 1, Leicester, 8, 3, Brighton,3, 2, Man United, 12, 3, Man United,0, 3, Tottenham, 9, 6, Burnley,0, 2, Man United, 7, 9, Watford,1, 2, Man United, 6, 10, Man United,1, 1, Wolves, 9, 10, West Ham,3, 1, Man United, 7, 13, Man United,3, 2, Newcastle, 9, 14, Chelsea,2, 2, Man United, 7, 17, Man United,2, 1, Everton, 6, 20, Bournemouth,1, 2, Man United, 7, 20, Man City,3, 1, Man United, 6, 21, Man United,0, 0, Crystal Palace, 6, 22, Southampton,2, 2, Man United, 7, 23, Man United,2, 2, Arsenal, 5, 26, Man United,4, 1, Fulham, 5, 26, Liverpool,3, 1, Man United, 5, 29, Cardiff,1, 5, Man United, 5, 32, Man United,3, 1, Huddersfield, 5, 32, ??,-1,-1,??,5, 35, Man United,4, 1, Bournemouth, 5, 38, Newcastle,0, 2, Man United, 5, 41, Tottenham,0, 1, Man United, 5, 44, Man United,2, 1, Brighton, 5, 45, Man United,2, 2, Burnley, 4, 48, Leicester,0, 1, Man United, 3, 51, Fulham,0, 3, Man United, 5, 52, Man United,0, 0, Liverpool, 5, 55, Crystal Palace,1, 3, Man United, 4, 58, Man United,3, 2, Southampton, 5, 58, Arsenal,2, 0, Man United, 5, 58, Man United,0, 2, Man City, 5, 61, Man United,2, 1, Watford, 5, 61, Wolves,2, 1, Man United, 5, 64, Man United,2, 1, West Ham, 5, 64, Everton,4, 0, Man United, 5, 65, Man United,1, 1, Chelsea, 5, 66, Huddersfield,1, 1, Man United, 5, 66, Man United,0, 2, Cardiff, 5, 66, ??,-1,-1,??,
Wolves, 8, 0, ??,-1,-1,??,8, 1, Wolves,2, 2, Everton, 13, 1, Leicester,2, 0, Wolves, 13, 2, Wolves,1, 1, Man City, 10, 5, West Ham,0, 1, Wolves, 8, 8, Wolves,1, 0, Burnley, 9, 9, Man United,1, 1, Wolves, 8, 12, Wolves,2, 0, Southampton, 6, 15, Crystal Palace,0, 1, Wolves, 8, 15, Wolves,0, 2, Watford, 9, 15, Brighton,1, 0, Wolves, 10, 15, Wolves,2, 3, Tottenham, 10, 16, Arsenal,1, 1, Wolves, 10, 16, Wolves,0, 2, Huddersfield, 11, 16, Cardiff,2, 1, Wolves, 11, 19, Wolves,2, 1, Chelsea, 9, 22, Newcastle,1, 2, Wolves, 6, 25, Wolves,2, 0, Bournemouth, 9, 25, Wolves,0, 2, Liverpool, 10, 26, Fulham,1, 1, Wolves, 10, 26, ??,-1,-1,??,6, 29, Tottenham,1, 3, Wolves, 8, 29, Wolves,0, 2, Crystal Palace, 10, 29, Man City,3, 0, Wolves, 7, 32, Wolves,4, 3, Leicester, 6, 35, Wolves,3, 0, West Ham, 6, 38, Everton,1, 3, Wolves, 6, 39, Wolves,1, 1, Newcastle, 7, 40, Bournemouth,1, 1, Wolves, 6, 40, Huddersfield,1, 0, Wolves, 6, 43, Wolves,2, 0, Cardiff, 6, 44, Chelsea,1, 1, Wolves, 6, 47, Wolves,3, 1, Arsenal, 6, 47, Burnley,2, 0, Wolves, 6, 50, Wolves,2, 1, Man United, 6, 50, Southampton,3, 1, Wolves, 6, 51, Wolves,0, 0, Brighton, 6, 54, Watford,1, 2, Wolves, 6, 57, Wolves,1, 0, Fulham, 6, 57, Liverpool,2, 0, Wolves, 6, 57, ??,-1,-1,??,
Everton, 9, 0, ??,-1,-1,??,9, 1, Wolves,2, 2, Everton, 6, 4, Everton,2, 1, Southampton, 7, 5, Bournemouth,2, 2, Everton, 6, 6, Everton,1, 1, Huddersfield, 10, 6, Everton,1, 3, West Ham, 11, 6, Arsenal,2, 0, Everton, 10, 9, Everton,3, 0, Fulham, 10, 12, Leicester,1, 2, Everton, 7, 15, Everton,2, 0, Crystal Palace, 8, 15, Man United,2, 1, Everton, 8, 18, Everton,3, 1, Brighton, 8, 19, Chelsea,0, 0, Everton, 5, 22, Everton,1, 0, Cardiff, 5, 22, Liverpool,1, 0, Everton, 5, 23, Everton,1, 1, Newcastle, 6, 24, Everton,2, 2, Watford, 7, 24, Man City,3, 1, Everton, 10, 24, Everton,2, 6, Tottenham, 7, 27, Burnley,1, 5, Everton, 7, 27, ??,-1,-1,??,9, 27, Brighton,1, 0, Everton, 10, 27, Everton,0, 1, Leicester, 9, 30, Everton,2, 0, Bournemouth, 10, 30, Southampton,2, 1, Everton, 7, 33, Huddersfield,0, 1, Everton, 8, 33, Everton,1, 3, Wolves, 8, 33, Watford,1, 0, Everton, 10, 33, Everton,0, 2, Man City, 8, 36, Cardiff,0, 3, Everton, 9, 37, Everton,0, 0, Liverpool, 10, 37, Newcastle,3, 2, Everton, 10, 40, Everton,2, 0, Chelsea, 9, 43, West Ham,0, 2, Everton, 9, 46, Everton,1, 0, Arsenal, 9, 46, Fulham,2, 0, Everton, 8, 49, Everton,4, 0, Man United, 8, 50, Crystal Palace,0, 0, Everton, 7, 53, Everton,2, 0, Burnley, 7, 54, Tottenham,2, 2, Everton, 7, 54, ??,-1,-1,??,
Leicester, 12, 0, ??,-1,-1,??,12, 0, Man United,2, 1, Leicester, 7, 3, Leicester,2, 0, Wolves, 6, 6, Southampton,1, 2, Leicester, 7, 6, Leicester,1, 2, Liverpool, 9, 6, Bournemouth,4, 2, Leicester, 8, 9, Leicester,3, 1, Huddersfield, 7, 12, Newcastle,0, 2, Leicester, 9, 12, Leicester,1, 2, Everton, 10, 12, Arsenal,3, 1, Leicester, 11, 13, Leicester,1, 1, West Ham, 9, 16, Cardiff,0, 1, Leicester, 9, 17, Leicester,0, 0, Burnley, 9, 18, Brighton,1, 1, Leicester, 7, 21, Leicester,2, 0, Watford, 8, 22, Fulham,1, 1, Leicester, 8, 22, Leicester,0, 2, Tottenham, 11, 22, Crystal Palace,1, 0, Leicester, 8, 25, Chelsea,0, 1, Leicester, 6, 28, Leicester,2, 1, Man City, 6, 28, ??,-1,-1,??,7, 28, Leicester,0, 1, Cardiff, 6, 31, Everton,0, 1, Leicester, 7, 31, Leicester,1, 2, Southampton, 8, 31, Wolves,4, 3, Leicester, 10, 32, Liverpool,1, 1, Leicester, 10, 32, Leicester,0, 1, Man United, 11, 32, Tottenham,3, 1, Leicester, 11, 32, Leicester,1, 4, Crystal Palace, 10, 35, Leicester,2, 1, Brighton, 10, 35, Watford,2, 1, Leicester, 9, 38, Leicester,3, 1, Fulham, 9, 41, Burnley,1, 2, Leicester, 7, 44, Leicester,2, 0, Bournemouth, 7, 47, Huddersfield,1, 4, Leicester, 7, 47, Leicester,0, 1, Newcastle, 9, 48, West Ham,2, 2, Leicester, 7, 51, Leicester,3, 0, Arsenal, 8, 51, Man City,1, 0, Leicester, 8, 52, Leicester,0, 0, Chelsea, 8, 52, ??,-1,-1,??,
West Ham, 19, 0, ??,-1,-1,??,19, 0, Liverpool,4, 0, West Ham, 18, 0, West Ham,1, 2, Bournemouth, 19, 0, Arsenal,3, 1, West Ham, 19, 0, West Ham,0, 1, Wolves, 15, 3, Everton,1, 3, West Ham, 16, 4, West Ham,0, 0, Chelsea, 13, 7, West Ham,3, 1, Man United, 14, 7, Brighton,1, 0, West Ham, 13, 7, West Ham,0, 1, Tottenham, 12, 8, Leicester,1, 1, West Ham, 12, 11, West Ham,4, 2, Burnley, 12, 12, Huddersfield,1, 1, West Ham, 13, 12, West Ham,0, 4, Man City, 12, 15, Newcastle,0, 3, West Ham, 12, 18, West Ham,3, 1, Cardiff, 10, 21, West Ham,3, 2, Crystal Palace, 8, 24, Fulham,0, 2, West Ham, 11, 24, West Ham,0, 2, Watford, 8, 27, Southampton,1, 2, West Ham, 8, 27, ??,-1,-1,??,10, 27, Burnley,2, 0, West Ham, 9, 28, West Ham,2, 2, Brighton, 8, 31, West Ham,1, 0, Arsenal, 9, 31, Bournemouth,2, 0, West Ham, 11, 31, Wolves,3, 0, West Ham, 11, 32, West Ham,1, 1, Liverpool, 9, 33, Crystal Palace,1, 1, West Ham, 8, 36, West Ham,3, 1, Fulham, 9, 36, Man City,1, 0, West Ham, 8, 39, West Ham,2, 0, Newcastle, 8, 39, Cardiff,2, 0, West Ham, 8, 42, West Ham,4, 3, Huddersfield, 10, 42, West Ham,0, 2, Everton, 10, 42, Chelsea,2, 0, West Ham, 10, 42, Man United,2, 1, West Ham, 10, 43, West Ham,2, 2, Leicester, 10, 46, Tottenham,0, 1, West Ham, 10, 49, West Ham,3, 0, Southampton, 9, 52, Watford,1, 4, West Ham, 9, 52, ??,-1,-1,??,
